"Year of
COA Report",NGO Recipient,Constituency,Legislator,Released
2007,"Buhay Mo Mahal Ko Foundation, Inc.","Bohol, 2nd District",Rep. Roberto Cajes,"9,700,000.00"
2007,"Buhay Mo Mahal Ko Foundation, Inc.","Catanduanes, Lone District",Rep. Joseph Santiago,"7,275,000.00"
2007,"Buhay Mo Mahal Ko Foundation, Inc.","Nueva Ecija, 4th District",Rep. Rodolfo Antonino,"14,550,000.00"
2007,"Ikaw at Ako Foundation, Inc.","Catanduanes, Lone District",Rep. Joseph Santiago,"14,550,000.00"
2007,"Ikaw at Ako Foundation, Inc.","Iligan City, Lanao del Norte
(1st District)",Rep. Alipio Cirillo Badelles,"4,850,000.00"
2007,Kabuhayan at Kalusugang Alay sa Masa Foundation,"Camarines Norte, Lone District","Rep. Renato Unico, Jr.","14,550,000.00"
2007,Kabuhayan at Kalusugang Alay sa Masa Foundation,"Cebu, 3rd District","Rep. Antonio Yapha, Jr.","9,700,000.00"
2007,Kabuhayan at Kalusugang Alay sa Masa Foundation,"Cebu, 6th District",Rep. Nerissa Corazon Soon-Ruiz,"9,700,000.00"
2007,Kabuhayan at Kalusugang Alay sa Masa Foundation,Negros Oriental,legislative district not specified,"6,790,000.00"
2007,Kabuhayan at Kalusugang Alay sa Masa Foundation,"San Jose del Monte (Bulacan), Lone District","Rep. Eduardo Roquero, Jr.","9,700,000.00"
2007,"Kapuso't Kapamilya Foundation, Inc.","Bohol, 2nd District",Rep. Roberto Cajes,"12,610,000.00"
2008,"Aaron Foundation Philippines, Inc.",not specified,not specified,"97,000,000.00"
2008,"Bukid-Tanglaw Livelihood Foundation, Inc.",not specified,not specified,"8,730,000.00"
2008,"Dr. Rodolfo A. Ignacio Sr. Foundation, Inc.",not specified,not specified,"9,700,000.00"
2008,"Gabay at Pag-asa ng Masa Foundation, Inc.",not specified,not specified,"52,865,000.00"
2008,"Gabay sa Magandang Bukas Foundation, Inc.",not specified,not specified,"2,910,000.00"
2008,"Gabaymasa Development Foundation, Inc.",not specified,not specified,"23,280,000.00"
2008,"Infinite Community Integrated Development
Support Foundation, Inc.",not specified,not specified,"26,190,000.00"
2008,"Interactive Training Opportunity on Needs
Alleviation (ITO NA!) Movement, Inc.",not specified,not specified,"5,383,500.00"
2008,"Kaagapay Magpakailanman Foundation, Inc.",not specified,not specified,"57,230,000.00"
2008,"Kabuhayan at Kalusugang Alay
sa Masa Foundation, Inc.",not specified,not specified,"63,341,000.00"
2008,"Kapuso't Kapamilya Foundation, Inc.",not specified,not specified,"76,455,400.00"
2008,"Kasangga sa Magandang Bukas
Foundation, Inc.",not specified,not specified,"56,551,000.00"
2008,"Masaganang Ani Para sa Magsasaka Foundation, Inc.",not specified,not specified,"112,083,500.00"
2008,"Pangkabuhayan Foundation, Inc.",not specified,not specified,"24,250,000.00"
2008,"People's Organization for Progress and
Development Foundation, Inc.",not specified,not specified,"24,250,000.00"
2008,"Social Development Program for
Farmers Foundation, Inc.",not specified,not specified,"160,535,000.00"
2008,"Uswag Guimaras Foundation, Inc.",not specified,not specified,"13,580,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Bohol, 2nd District",Rep. Roberto Cajes,"5,820,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Cagayan de Oro, 1st District",Rep. Rolando Uy,"2,910,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Catanduanes, Lone District",Rep. Joseph Santiago,"4,850,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Cebu, 1st District",Rep. Eduardo Gullas,"14,550,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Davao del Sur, 1st District",Rep. Marc Douglas Cagas IV,"4,850,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Davao del Sur, 2nd District",Rep. Franklin Bautista,"1,940,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Lanao del Norte, 1st District","Rep. Vicente Belmonte, Jr.","4,850,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Masbate, 2nd District",Rep. Antonio Kho,"9,700,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Misamis Occidental,1st District",Rep. Marina Clarete,"7,760,000.00"
2009-10,"Kabuhayan at Kalusugang Alay sa Masa
Foundation, Inc.","Misamis Oriental, 2nd District","Davao City Rep. Prospero Nograles
(sub for Rep. Danilo Lagbas)","8,730,000.00"
