IA  No. of Suppliers  Amount (in M P)
Mandaluyong City  151  263.676
Tabaco City  4  9.331
Iriga City  4  33.082
Tarlac  2  11.321
Nueva Ecija  1  0.512
Taguig City  8  15.623
Brgy. Calzada, Tipas, Taguig City  1  0.400
Manila  1  5.000
Barangays of Manila  11  1.480
Barangays of Quezon City  2  3.834
Las Piñas City  17  32.844
Davao Oriental  6  11.235
Total  208  388.338
